message_id,dlc,payload,puc_id,ts,gps_id,latitude,longitude,groundspeed,truecourse
,,,8765,2016-10-28 05:00:00,681665533,35.05875000000000,-80.38093000000000,0.01841250000000,0.00000000000000
0CFF1003,8,FFFFFFFFFFFFFFFF,8765,2016-10-28 05:00:00,,,,,
1CFFFF17,8,9AFF64FFFFFFFFFF,8765,2016-10-28 05:00:00,,,,,
0CFFFE17,8,3317FFFFFFFFFFFF,8765,2016-10-28 05:00:00,,,,,
1CFFFE17,8,270000CCFFFFFFFF,8765,2016-10-28 05:00:00,,,,,
18FECA06,8,01FFD0070901FFFF,8765,2016-10-28 05:00:00,,,,,
18FEF719,8,FFFFFFFFFFFFE000,8765,2016-10-28 05:00:00,,,,,
18FEFCF3,8,FF67FFFFFFFFFFFF,8765,2016-10-28 05:00:00,,,,,
18FFFF17,8,18A02FA02F08084C,8765,2016-10-28 05:00:00,,,,,
18FFFE17,8,2A4848FFFFFFFFFF,8765,2016-10-28 05:00:00,,,,,
18FEF103,8,FF0000CFFFFFFFFF,8765,2016-10-28 05:00:00,,,,,
,,,8765,2016-10-28 05:00:01,681665537,35.05875000000000,-80.38093000000000,0.07134830000000,0.00000000000000
18FEF719,8,FFFFFFFFFFFFE000,8765,2016-10-28 05:00:01,,,,,
1CFFFF17,8,9AFF64FFFFFFFFFF,8765,2016-10-28 05:00:01,,,,,
18FEFCF3,8,FF67FFFFFFFFFFFF,8765,2016-10-28 05:00:01,,,,,
1CFFFE17,8,270000CCFFFFFFFF,8765,2016-10-28 05:00:01,,,,,
18FFFF17,8,18A02FA02F08084C,8765,2016-10-28 05:00:01,,,,,
0CFFFE17,8,3317FFFFFFFFFFFF,8765,2016-10-28 05:00:01,,,,,
18FFFE17,8,2A4848FFFFFFFFFF,8765,2016-10-28 05:00:01,,,,,
18FECA06,8,01FFD0070901FFFF,8765,2016-10-28 05:00:01,,,,,
18FEF103,8,FF0000CFFFFFFFFF,8765,2016-10-28 05:00:01,,,,,
0CFF1003,8,FFFFFFFFFFFFFFFF,8765,2016-10-28 05:00:01,,,,,
,,,8765,2016-10-28 05:00:02,681665542,35.05875000000000,-80.38093000000000,0.03222180000000,0.00000000000000
18FECA06,8,01FFD0070901FFFF,8765,2016-10-28 05:00:02,,,,,
1CFFFE17,8,270000CCFFFFFFFF,8765,2016-10-28 05:00:02,,,,,
0CFFFE17,8,3317FFFFFFFFFFFF,8765,2016-10-28 05:00:02,,,,,
1CFFFF17,8,9AFF64FFFFFFFFFF,8765,2016-10-28 05:00:02,,,,,
0CFF1003,8,FFFFFFFFFFFFFFFF,8765,2016-10-28 05:00:02,,,,,
18FEF719,8,FFFFFFFFFFFFE200,8765,2016-10-28 05:00:02,,,,,
18FEFCF3,8,FF67FFFFFFFFFFFF,8765,2016-10-28 05:00:02,,,,,
18FFFE17,8,2A4848FFFFFFFFFF,8765,2016-10-28 05:00:02,,,,,
18FFFF17,8,18A02FA02F08084C,8765,2016-10-28 05:00:02,,,,,
18FEF103,8,FF0000CFFFFFFFFF,8765,2016-10-28 05:00:02,,,,,
,,,8765,2016-10-28 05:00:03,681665547,35.05875000000000,-80.38093000000000,0.05753900000000,0.00000000000000
